model_a,model_b,disparity
seed-claude-4.5-sonnet-high,seed-claude-4.5-sonnet-low,0.1490144035161564
seed-claude-4.5-sonnet-low,seed-claude-4.5-sonnet-medium,0.16931136715030243
seed-claude-4.5-haiku-none,seed-claude-4.5-sonnet-low,0.23275432209029837
seed-claude-4.5-sonnet-high,seed-claude-4.5-sonnet-medium,0.24392654574345068
seed-claude-4.5-haiku-medium,seed-claude-4.5-sonnet-low,0.247650338933514
seed-claude-4.5-haiku-low,seed-claude-4.5-haiku-medium,0.24858195674364275
seed-claude-4.5-haiku-high,seed-claude-4.5-haiku-medium,0.2501331434954664
seed-claude-4.5-haiku-high,seed-claude-4.5-haiku-low,0.25047343537728706
seed-claude-4.5-sonnet-low,seed-claude-4.5-sonnet-none,0.254240424010936
seed-claude-4.5-haiku-low,seed-claude-4.5-sonnet-low,0.2545237192146912
seed-claude-4.5-haiku-high,seed-claude-4.5-sonnet-low,0.25835074834697713
seed-claude-4.5-haiku-high,seed-claude-4.5-haiku-none,0.2914349271289983
seed-claude-4.5-haiku-medium,seed-claude-4.5-haiku-none,0.29419827344387295
seed-gemini-2.5-flash-high,seed-gemini-2.5-flash-low,0.2947785319633012
seed-claude-4.5-haiku-low,seed-claude-4.5-haiku-none,0.2959014293705438
seed-gemini-2.5-flash-lite-high,seed-gemini-2.5-flash-lite-medium,0.3051784663099144
seed-gemini-2.5-flash-lite-low,seed-gemini-2.5-flash-lite-medium,0.31037862647301717
seed-gpt-5-mini-high,seed-gpt-5-mini-medium,0.3116031396270389
seed-gpt-5-high,seed-gpt-5-medium,0.31494767055266976
seed-claude-4.5-sonnet-low,seed-gemini-2.5-pro-medium,0.3156325450393877
seed-gemini-2.5-flash-lite-high,seed-gemini-2.5-flash-lite-low,0.31571256423542776
seed-gemini-2.5-flash-low,seed-gemini-2.5-flash-medium,0.31737098745993586
seed-gemini-2.5-flash-high,seed-gemini-2.5-flash-medium,0.3193478060870151
seed-claude-4.5-haiku-low,seed-claude-4.5-sonnet-medium,0.32068250266849824
seed-gpt-5-low,seed-gpt-5-medium,0.3207199997508922
seed-claude-4.5-haiku-medium,seed-claude-4.5-sonnet-medium,0.3211324944823129
seed-claude-4.5-haiku-high,seed-claude-4.5-sonnet-medium,0.32184955491488276
seed-claude-4.5-sonnet-low,seed-gemini-2.5-flash-low,0.322279259340388
seed-gemini-2.5-flash-lite-medium,seed-gemini-2.5-flash-lite-none,0.3224571665371976
seed-claude-4.5-haiku-high,seed-claude-4.5-sonnet-high,0.3241358380483224
seed-claude-4.5-haiku-low,seed-claude-4.5-sonnet-high,0.3241857522020734
seed-claude-4.5-haiku-none,seed-claude-4.5-sonnet-medium,0.3251762495733842
seed-claude-4.5-sonnet-high,seed-claude-4.5-sonnet-none,0.32598842177614196
seed-claude-4.5-haiku-medium,seed-claude-4.5-sonnet-high,0.32717385800472804
seed-gemini-2.5-flash-lite-high,seed-gemini-2.5-flash-lite-none,0.32799428502856975
seed-claude-4.5-haiku-none,seed-claude-4.5-sonnet-high,0.32822903271236814
seed-gemini-2.5-flash-lite-low,seed-gemini-2.5-flash-lite-none,0.3290713212514678
seed-claude-4.5-sonnet-medium,seed-claude-4.5-sonnet-none,0.331747579231435
seed-claude-4.5-sonnet-low,seed-gpt-5-nano-minimal,0.33502439461585143
seed-gemini-2.5-flash-lite-low,seed-gemini-2.5-flash-low,0.3354111694074509
seed-gpt-5-low,seed-gpt-5-minimal,0.3371374182397344
seed-gemini-2.5-flash-lite-none,seed-gemini-2.5-flash-none,0.3379883930475026
seed-gemini-2.5-flash-lite-medium,seed-gemini-2.5-flash-low,0.3382574388724065
seed-gpt-5-nano-high,seed-gpt-5-nano-medium,0.3382868343626399
seed-gemini-2.5-flash-lite-high,seed-gemini-2.5-flash-medium,0.3386665077496883
seed-gemini-2.5-flash-lite-medium,seed-gemini-2.5-flash-medium,0.34028218838911917
seed-gpt-5-high,seed-gpt-5-low,0.3404542032530477
seed-gemini-2.5-flash-lite-high,seed-gemini-2.5-flash-none,0.3433723571910236
seed-gpt-5-mini-low,seed-gpt-5-mini-medium,0.3451110429748284
seed-gemini-2.5-flash-lite-low,seed-gemini-2.5-flash-medium,0.3461644807657745
seed-gpt-5-nano-low,seed-gpt-5-nano-medium,0.3474786814622608
